"filename", "language", "JavaScript", "CSS", "JavaScript JSX", "JSON", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\ayaam\programming\portfolio_website\README.md", "Markdown", 0, 0, 0, 0, 0, 38, 0, 33, 71
"c:\Users\ayaam\programming\portfolio_website\backend\index.js", "JavaScript", 21, 0, 0, 0, 0, 0, 2, 6, 29
"c:\Users\ayaam\programming\portfolio_website\backend\package-lock.json", "JSON", 0, 0, 0, 964, 0, 0, 0, 1, 965
"c:\Users\ayaam\programming\portfolio_website\backend\package.json", "JSON", 0, 0, 0, 19, 0, 0, 0, 1, 20
"c:\Users\ayaam\programming\portfolio_website\package-lock.json", "JSON", 0, 0, 0, 17363, 0, 0, 0, 1, 17364
"c:\Users\ayaam\programming\portfolio_website\package.json", "JSON", 0, 0, 0, 48, 0, 0, 0, 1, 49
"c:\Users\ayaam\programming\portfolio_website\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\ayaam\programming\portfolio_website\public\index.html", "HTML", 0, 0, 0, 0, 20, 0, 23, 1, 44
"c:\Users\ayaam\programming\portfolio_website\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\ayaam\programming\portfolio_website\src\App.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\ayaam\programming\portfolio_website\src\Components\Footer.jsx", "JavaScript JSX", 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\ayaam\programming\portfolio_website\src\Components\Port.jsx", "JavaScript JSX", 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\ayaam\programming\portfolio_website\src\Components\PortSearch.jsx", "JavaScript JSX", 0, 0, 74, 0, 0, 0, 0, 20, 94
"c:\Users\ayaam\programming\portfolio_website\src\Components\Team.jsx", "JavaScript JSX", 0, 0, 20, 0, 0, 0, 0, 8, 28
"c:\Users\ayaam\programming\portfolio_website\src\index.css", "CSS", 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\ayaam\programming\portfolio_website\src\index.js", "JavaScript", 14, 0, 0, 0, 0, 0, 3, 4, 21
"c:\Users\ayaam\programming\portfolio_website\tailwind.config.js", "JavaScript", 7, 0, 0, 0, 0, 0, 1, 2, 10
"Total", "-", 61, 3, 109, 18419, 20, 38, 29, 89, 18768
