"filename", "language", "JavaScript", "JavaScript JSX", "JSON", "comment", "blank", "total"
"c:\Users\ayaam\programming\portfolio_website\backend\index.js", "JavaScript", -21, 0, 0, -2, -6, -29
"c:\Users\ayaam\programming\portfolio_website\backend\package-lock.json", "JSON", 0, 0, -964, 0, -1, -965
"c:\Users\ayaam\programming\portfolio_website\backend\package.json", "JSON", 0, 0, -19, 0, -1, -20
"c:\Users\ayaam\programming\portfolio_website\package-lock.json", "JSON", 0, 0, 235, 0, 0, 235
"c:\Users\ayaam\programming\portfolio_website\package.json", "JSON", 0, 0, 6, 0, 1, 7
"c:\Users\ayaam\programming\portfolio_website\src\App.js", "JavaScript", 7, 0, 0, 0, -2, 5
"c:\Users\ayaam\programming\portfolio_website\src\Components\Port.jsx", "JavaScript JSX", 0, 2, 0, 0, 1, 3
"c:\Users\ayaam\programming\portfolio_website\src\Components\PortSearch.jsx", "JavaScript JSX", 0, 35, 0, 0, -5, 30
"c:\Users\ayaam\programming\portfolio_website\src\Components\Team.jsx", "JavaScript JSX", 0, -4, 0, 0, 0, -4
"c:\Users\ayaam\programming\portfolio_website\src\Portfolio.js", "JavaScript", 17, 0, 0, 3, 1, 21
"c:\Users\ayaam\programming\portfolio_website\src\ports.js", "JavaScript", 11, 0, 0, 0, 6, 17
"Total", "-", 14, 33, -742, 1, -6, -700
