"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\ayaam\programming\portfolio_website\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 33, 71
"c:\Users\ayaam\programming\portfolio_website\package-lock.json", "JSON", 0, 0, 0, 17598, 0, 0, 0, 1, 17599
"c:\Users\ayaam\programming\portfolio_website\package.json", "JSON", 0, 0, 0, 54, 0, 0, 0, 2, 56
"c:\Users\ayaam\programming\portfolio_website\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\ayaam\programming\portfolio_website\public\index.html", "HTML", 0, 0, 0, 0, 0, 20, 23, 1, 44
"c:\Users\ayaam\programming\portfolio_website\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\ayaam\programming\portfolio_website\src\App.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\ayaam\programming\portfolio_website\src\Components\Footer.jsx", "JavaScript JSX", 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\ayaam\programming\portfolio_website\src\Components\Port.jsx", "JavaScript JSX", 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\ayaam\programming\portfolio_website\src\Components\PortSearch.jsx", "JavaScript JSX", 0, 109, 0, 0, 0, 0, 0, 15, 124
"c:\Users\ayaam\programming\portfolio_website\src\Components\Team.jsx", "JavaScript JSX", 0, 16, 0, 0, 0, 0, 0, 8, 24
"c:\Users\ayaam\programming\portfolio_website\src\Portfolio.js", "JavaScript", 17, 0, 0, 0, 0, 0, 3, 1, 21
"c:\Users\ayaam\programming\portfolio_website\src\index.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\ayaam\programming\portfolio_website\src\index.js", "JavaScript", 14, 0, 0, 0, 0, 0, 3, 4, 21
"c:\Users\ayaam\programming\portfolio_website\src\ports.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 6, 17
"c:\Users\ayaam\programming\portfolio_website\tailwind.config.js", "JavaScript", 7, 0, 0, 0, 0, 0, 1, 2, 10
"Total", "-", 75, 142, 3, 17677, 38, 20, 30, 83, 18068
