"filename", "language", "JavaScript", "JavaScript JSX", "HTML", "JSON", "comment", "blank", "total"
"c:\Users\ayaam\programming\portfolio_website\package-lock.json", "JSON", 0, 0, 0, 50, 0, 0, 50
"c:\Users\ayaam\programming\portfolio_website\package.json", "JSON", 0, 0, 0, 4, 0, -1, 3
"c:\Users\ayaam\programming\portfolio_website\public\google620cf3c6e4b6f279.html", "HTML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\ayaam\programming\portfolio_website\public\index.html", "HTML", 0, 0, 5, 0, -20, 5, -10
"c:\Users\ayaam\programming\portfolio_website\src\Components\PortSearch.jsx", "JavaScript JSX", 0, 33, 0, 0, 0, -2, 31
"c:\Users\ayaam\programming\portfolio_website\src\Components\Team.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, -1, 0
"c:\Users\ayaam\programming\portfolio_website\src\Components\ports.js", "JavaScript", 632, 0, 0, 0, 0, 5, 637
"c:\Users\ayaam\programming\portfolio_website\src\Portfolio.js", "JavaScript", 17, 0, 0, 0, -3, 6, 20
"c:\Users\ayaam\programming\portfolio_website\src\ports.js", "JavaScript", -11, 0, 0, 0, 0, -6, -17
"Total", "-", 638, 34, 6, 54, -23, 6, 715
