"filename", "language", "JavaScript", "JavaScript JSX", "Markdown", "JSON", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\ayaam\programming\portfolio_website\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 33, 71
"c:\Users\ayaam\programming\portfolio_website\package-lock.json", "JSON", 0, 0, 0, 17648, 0, 0, 0, 1, 17649
"c:\Users\ayaam\programming\portfolio_website\package.json", "JSON", 0, 0, 0, 58, 0, 0, 0, 1, 59
"c:\Users\ayaam\programming\portfolio_website\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\ayaam\programming\portfolio_website\public\google620cf3c6e4b6f279.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\ayaam\programming\portfolio_website\public\index.html", "HTML", 0, 0, 0, 0, 25, 0, 3, 6, 34
"c:\Users\ayaam\programming\portfolio_website\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\ayaam\programming\portfolio_website\src\App.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\ayaam\programming\portfolio_website\src\Components\Footer.jsx", "JavaScript JSX", 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\ayaam\programming\portfolio_website\src\Components\Port.jsx", "JavaScript JSX", 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\ayaam\programming\portfolio_website\src\Components\PortSearch.jsx", "JavaScript JSX", 0, 142, 0, 0, 0, 0, 0, 13, 155
"c:\Users\ayaam\programming\portfolio_website\src\Components\Team.jsx", "JavaScript JSX", 0, 17, 0, 0, 0, 0, 0, 7, 24
"c:\Users\ayaam\programming\portfolio_website\src\Components\ports.js", "JavaScript", 632, 0, 0, 0, 0, 0, 0, 5, 637
"c:\Users\ayaam\programming\portfolio_website\src\Portfolio.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 7, 41
"c:\Users\ayaam\programming\portfolio_website\src\index.css", "CSS", 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\ayaam\programming\portfolio_website\src\index.js", "JavaScript", 14, 0, 0, 0, 0, 0, 3, 4, 21
"c:\Users\ayaam\programming\portfolio_website\tailwind.config.js", "JavaScript", 7, 0, 0, 0, 0, 0, 1, 2, 10
"Total", "-", 713, 176, 38, 17731, 26, 3, 7, 89, 18783
